Epoch	Time(sec)	RMSE_train	R2_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
41	8815.942463729065	0.3860229	0.9933965648287637	[1.207102]	[1.178481]	1.8607868	1.778288	0.8536868902800573	0.8669808220246601
42	9095.410487886984	0.37590027	0.9937383469342745	[1.2191015]	[1.1778514]	1.8774971	1.7849319	0.8510472426637151	0.8659850157823172
43	9370.17014733702	0.36673215	0.9940400625666113	[1.2321298]	[1.191163]	1.8931296	1.7960424	0.848556487513772	0.8643114413394211
44	9607.114185728133	0.35897127	0.9942896448796771	[1.2165654]	[1.1811477]	1.878805	1.791431	0.8508396430702113	0.8650073329444443
45	9851.312681234907	0.350698	0.9945498274547361	[1.2265216]	[1.1867262]	1.8825557	1.7900937	0.850243477934145	0.8652087861423058
46	10145.053148922976	0.3421826	0.9948112882607799	[1.237262]	[1.1984825]	1.8901542	1.8023019	0.849032142362876	0.8633640118327961
47	10412.90246801218	0.3338408	0.9950611875082858	[1.231481]	[1.1859262]	1.8845733	1.790023	0.8499223223760527	0.8652194381110954
48	10654.39414266916	0.32591406	0.9952929381016399	[1.2370276]	[1.1939573]	1.8905519	1.7917475	0.848968601805282	0.8649596303077896
49	10920.308421426918	0.32027102	0.9954545277876208	[1.2327179]	[1.1994442]	1.885693	1.8016973	0.8497439316723097	0.8634556638224036
50	11188.774406798184	0.2983998	0.9960541483545935	[1.2346888]	[1.1935824]	1.8927594	1.7979174	0.8486157076697062	0.8640280004143002
